iter	Passed	Remaining
0	60	60064
1	60	30158
2	60	20179
3	61	15192
4	61	12194
5	61	10212
6	61	8779
7	62	7717
8	62	6883
9	62	6215
10	63	5669
11	63	5214
12	63	4829
13	63	4503
14	64	4217
15	64	3969
16	64	3755
17	65	3558
18	65	3381
19	65	3222
20	66	3078
21	66	2947
22	66	2828
23	66	2718
24	67	2618
25	67	2528
26	67	2445
27	68	2367
28	68	2293
29	68	2225
30	69	2159
31	69	2097
32	69	2041
33	69	1987
34	70	1938
35	70	1896
36	71	1849
37	71	1805
38	71	1766
39	72	1735
40	72	1697
41	72	1662
42	73	1628
43	73	1596
44	73	1567
45	74	1537
46	74	1509
47	74	1485
48	75	1461
49	75	1436
50	75	1412
51	76	1388
52	76	1370
53	76	1348
54	77	1330
55	77	1310
56	78	1291
57	78	1275
58	79	1261
59	79	1244
60	79	1229
61	80	1212
62	80	1196
63	81	1185
64	81	1170
65	81	1155
66	81	1140
67	82	1124
68	82	1110
69	82	1097
70	82	1083
71	83	1071
72	83	1058
73	83	1050
74	84	1038
75	85	1037
76	85	1025
77	85	1014
78	86	1003
79	86	992
80	86	981
81	86	970
82	86	960
83	87	950
84	87	939
85	87	930
86	87	919
87	87	910
88	88	901
89	88	893
90	88	884
91	88	876
92	88	867
93	89	859
94	89	851
95	89	844
96	89	836
97	90	829
98	90	822
99	90	815
100	90	808
101	90	800
102	91	793
103	91	787
104	91	780
105	91	774
106	92	768
107	92	762
108	92	756
109	92	750
110	92	744
111	93	738
112	93	733
113	93	727
114	93	722
115	93	716
116	94	711
117	94	706
118	94	700
119	94	695
120	95	690
121	95	686
122	95	680
123	95	675
124	95	671
125	96	666
126	96	662
127	96	657
128	96	653
129	96	649
130	97	645
131	97	641
132	97	636
133	97	632
134	98	628
135	98	624
136	98	621
137	98	617
138	99	613
139	99	610
140	99	606
141	99	602
142	99	599
143	100	595
144	100	592
145	100	589
146	100	585
147	101	582
148	101	579
149	101	576
150	101	572
151	102	569
152	102	566
153	102	563
154	102	560
155	103	557
156	103	554
157	103	551
158	103	548
159	104	546
160	104	543
161	104	540
162	104	537
163	104	534
164	105	532
165	105	529
166	105	526
167	105	524
168	106	521
169	106	519
170	106	516
171	106	514
172	107	511
173	107	509
174	107	506
175	107	504
176	108	502
177	108	499
178	108	497
179	108	495
180	108	492
181	109	489
182	109	487
183	109	485
184	109	483
185	109	481
186	110	479
187	110	476
188	110	474
189	110	472
190	111	470
191	111	468
192	111	466
193	111	464
194	112	462
195	112	460
196	112	458
197	112	456
198	113	455
199	113	453
200	113	451
201	113	449
202	114	447
203	114	445
204	114	444
205	114	442
206	114	440
207	115	438
208	115	437
209	115	435
210	115	433
211	116	431
212	116	430
213	116	428
214	116	426
215	117	425
216	117	423
217	117	421
218	117	420
219	118	418
220	118	416
221	118	415
222	118	413
223	118	412
224	119	410
225	119	409
226	119	407
227	119	406
228	120	404
229	120	403
230	120	401
231	120	400
232	121	398
233	121	397
234	121	395
235	121	394
236	122	392
237	122	391
238	122	390
239	122	388
240	123	387
241	123	386
242	123	384
243	123	383
244	123	382
245	124	380
246	124	379
247	124	377
248	124	376
249	125	375
250	125	373
251	125	372
252	125	371
253	126	370
254	126	368
255	126	367
256	126	366
257	126	365
258	127	363
259	127	362
260	127	361
261	127	360
262	128	359
263	128	357
264	128	356
265	128	355
266	129	354
267	129	353
268	129	352
269	129	351
270	130	349
271	130	348
272	130	347
273	130	346
274	131	345
275	131	344
276	131	343
277	131	342
278	132	341
279	132	340
280	132	339
281	132	337
282	132	336
283	133	335
284	133	334
285	133	333
286	133	332
287	134	331
288	134	330
289	134	329
290	134	328
291	135	327
292	135	326
293	135	325
294	135	324
295	136	323
296	136	322
297	136	321
298	136	320
299	136	319
300	137	318
301	137	317
302	137	316
303	137	315
304	138	314
305	138	313
306	138	312
307	138	311
308	139	310
309	139	310
310	139	309
311	139	308
312	140	307
313	140	306
314	140	305
315	140	304
316	141	303
317	141	302
318	141	302
319	141	301
320	141	300
321	142	299
